Article_Title,PMC_ID,DOI,ACK,ACKNOWLEDGEMENT,FUNDING,FOOTNOTES
Effects of second responder programs on repeat incidents of family abuse: An updated systematic review and meta‐analysis,8799917,na,NA,NA,NA,NA
Policies and interventions to remove gender‐related barriers to girls' school participation and learning in low‐ and middle‐income countries: A systematic review of the evidence,8770660,na,NA,NA,NA,NA
Opioid‐specific medication‐assisted therapy and its impact on criminal justice and overdose outcomes,8742132,na,NA,"The author team would like to acknowledge and thank the following individuals for their respective contributions to the project: Liz Eggins and Ajima Olaghere from the Campbell Collaboration for their technical and editorial assistance (including deduplicating the results); Sarah Light, Madeline Lancaster, Pranjali Sathe, Sydney Holtzapple, Anna Johns, and Isabel Pratt for their assistance with screening and/or coding studies; Madeleine Gaiser from the University of Cincinnati College of Education, Criminal Justice, and Human Services (CECH) Library for technical assistance during the search process; Erin Cochran, Leah Patrick, and John Schwartz of the University of Cincinnati for their administrative assistance relating to the National Institute for Health Research (NIHR) incentive award; and Marina Palermo of Evidence Partners for her technical assistance with the DistillerSR® software. The team would also like to thank NIHR for providing the incentive award, Charlotte Gill for her assistance, and the peer reviewers for their helpful comments on earlier drafts of the manuscript.",NA,NA
Parenting interventions to support parent/child attachment and psychosocial adjustment in foster and adoptive parents and children: A systematic review,8732982,na,NA,"We would like to thank our review team assistants Julie Haatuft, Kristine Grosen Ellerman, Tanne Ebert Jørgensen and Anton Dam and research analyst Morten Kjær Thomsen.",NA,NA
"Trust, Care Avoidance, and Care Experiences among Kenyan Women Who Delivered during the COVID-19 Pandemic",9995165,na,NA,"We express deep appreciation to the village elders and community health volunteers who assisted with recruitment of respondents, the respondents for sharing their time and insights with us, and the enumerators and team leads for their efforts, including James Opot, Nancy Onditi, and field staff: Hanna Kakuu, Nancy Wangechi, Sara Wambui, Evelyn Mukiri, Maureen Wekesa, Margaret Nyakio, Fatma Omar, Scovia Owino, Lynette Osodo, and Lily Jebet. We also thank Amanda Landrian for project assistance.","This work was supported by the Bill and Melinda Gates Foundation (Award #INV-018586, PI: Sudhinaraset).",NA
Celiac Axis Stenosis is an Underestimated Risk Factor for Increased Morbidity After Pancreatoduodenectomy,9994807,na,NA,NA,NA,NA
Preoperative Depression Status and 5 Year Metabolic and Bariatric Surgery Outcomes in the PCORnet Bariatric Study Cohort,9994793,na,NA,NA,NA,NA
Temperature responses of photosynthesis and respiration in evergreen trees from boreal to tropical latitudes,9994441,na,NA,We thank Professor Kouki Hikosaka and Dr Nick Smith for sharing data from their previous experiments and Dr Mirindi Eric Dusenge for sharing reference lists that facilitated the data compilation of this study. Professor Belinda Medlyn and Professor David Ellsworth are gratefully acknowledged for commenting on previous versions of this manuscript. KYC acknowledges the Australian Research Council for funding a Discovery Early Career Research Award (DE160101484) while writing this manuscript. JU acknowledges the Swedish strategic research area ‘Biodiversity and Ecosystem services in a Changing Climate’ (BECC; http://www.lu.se).,NA,NA
Ultrasonography in Acute Kidney Injury,9994307,10.24908/pocus.v7iKidney.14989,NA,NA,NA,NA
POCUS in Intensive Care Nephrology,9994305,10.24908/pocus.v7iKidney.15016,NA,NA,NA,NA
Point of Care Ultrasound in Monitoring of Post-Renal Biopsy Bleeding ,9994303,10.24908/pocus.v7iKidney.14988,NA,NA,NA,NA
Massive Lymphocele Associated with Allograft Hydronephrosis: An Ultrasound Case Study ,9994301,10.24908/pocus.v7iKidney.14992,NA,NA,NA,NA
POCUS Allows for Rapid Elucidation of Acute Kidney Injury in a Patient with Progressive Multiple Myeloma,9994299,10.24908/pocus.v7iKidney.15342,NA,NA,NA,NA
About the Special Kidney Issue,9994297,10.24908/pocus.v7iKidney.15415,NA,NA,NA,NA
Evaluation of Venous Congestion Using Beside Ultrasonography by the Nephrology Consultant: The VExUS Nexus,9994295,10.24908/pocus.v7iKidney.15341,NA,NA,NA,NA
Role of Point of Care Ultrasonography in Patients with COVID-19 Associated Acute Kidney Injury ,9994293,10.24908/pocus.v7iKidney.15344,NA,NA,NA,NA
Integrating Point of Care Ultrasound into Nephrology Fellowship Training: Insights from a Pilot Program,9994291,10.24908/pocus.v7iKidney.14987,NA,"We want to thank Bonnie Cheng RDMS, CMRTO, B.Ed., sonographer and clinical application specialist at FUJIFilm Sonosite, for offering her time as an instructor for the POCUS workshop and well as Michael Taranovsky, Territory Manager at FUJIFilm Sonosite, who provided ultrasound devices during phase 1 and phase 2 of this pilot program. William Beaubien-Souligny is supported be Fonds de recherche du Québec en Santé.",NA,NA
Recovery of Severe Acute Kidney Injury in a Patient with COVID-19: Role of Lung Ultrasonography,9994289,10.24908/pocus.v7iKidney.15343,NA,"We acknowledge the Northwell COVID-19 research consortium. The initial characteristics of 5,700 patients from Northwell are presented in reference 1 and this case describes one of those patients in-depth.",NA,NA
A Review of the Machine Learning Algorithms for Covid-19 Case Analysis,9983698,na,NA,NA,NA,NA
