Article_Title,PMC_ID,DOI,ACK,ACKNOWLEDGEMENT,FUNDING,FOOTNOTES
"Expression and methylation status of BTG2, PPP1CA, and PEG3 genes in colon adenocarcinoma cell lines: promising treatment targets",9876769,10.22037/ghfbb.v15i4.2577,NA,The authors would like to express their sincere gratitude to Shiraz University of Medical Sciences for financially supporting the study (No. 19669).,NA,NA
Primary squamous cell carcinoma of the liver: a case report,9876767,10.22037/ghfbb.v15i4.2476,NA,NA,NA,NA
Comparison of hepatic steatosis index as noninvasive diagnostic tool and liver ultrasound for non-alcoholic steatosis in the adult population,9876765,10.22037/ghfbb.v15i4.2480,NA,"We are grateful to all the study participants for the effort given to the present investigation. The results presented in this article were extracted from the thesis of Vahid Khani, Shahid Beheshti University of Medical Sciences. ",NA,NA
Accurate laboratory diagnosis of human intestinal and extra-intestinal amoebiasis,9876763,10.22037/ghfbb.v15i4.2496,NA,NA,NA,NA
Meta-analysis of transcriptomics data identifies potential biomarkers and their associated regulatory networks in gallbladder cancer,9876761,10.22037/ghfbb.v15i4.2292,NA,"The first author, Nidhi Singh, acknowledges Department of Biotechnology (DBT), Government of India for providing supporting fellowship under DBT-JRF scheme.",NA,NA
"Deletion of the voltage‐gated calcium channel, CaV1.3, causes deficits in motor performance and associative learning",9744532,na,NA,"The authors would like to thank Dr. Shane Heiney and the Neural Circuits and Behavior Core at the University of Iowa, Dr. Nandakumar Narayanan, and Parker Abbott for training and behavioral equipment used in this study. We also thank Dr. Geoffrey Murphy for CaV1.3 knockout mice, and the members of the Iowa Neuroscience Institute for thoughtful comments on this manuscript. This project was funded by NIH R01MH118240 (Krystal Parker), K01MH106824 (Krystal Parker), KL2TR002536 (Aislinn Williams), the Roy J. Carver Charitable Trust (Aislinn Williams), the Graduate Program in Neuroscience (Ashley Plumb) and the Roy J. and Lucille A. Carver College of Medicine (Bryn Myers).",NA,NA
The role of food odor in invertebrate foraging,9744530,na,NA,"Figures were created using biorender.com. The authors wish to acknowledge Luis Alvarez, Elsa Bonnard, Naomi Felton, Joel Kelly and Jun Liu for helpful comments.",NA,NA
Do People Know How Their Romantic Partner Views Their Emotions? Evidence for Emotion Meta-Accuray and Links with Momentary Romantic Relationship Quality,9903246,na,NA,NA,NA,NA
"Gestalt contexture and contested motives: Understanding video
evidence in the murder trial of Officer Michael Slager",9900682,na,NA,"I would like to thank Carmen Nave, Wes Sharrock, Michael Lynch, Michael Mair, Albert
J Meehan and Stacy Burns for their comments on this and previous drafts, as well as
the suggestions from the anonymous reviewers of Theoretical
Criminology.",NA,NA
Gene variant effects across sodium channelopathies predict function and guide precision therapy,9897196,na,NA,NA,"D.L. and E.P. received a grant from the Dravet Syndrome Foundation (grant number, 272016) to support this work. E.P. is supported by the Agencia Nacional de Investigación y Desarrollo (ANID, PAI77200124) of Chile and the FamilieSCN2A foundation 2020 Action Potential Grant. A.B. and S.Z. received a grant from Dravet syndrome UK (grant number, 16GLW00) for the Glasgow SCN1A database. C.S. is the recipient of a National Health and Medical Research Council (NHMRC) Practitioner Fellowship (#1154992).",NA
Role of time in binding features in visual working memory,7614141,na,"This research was funded by the Wellcome Trust [Grant number 106926 to P.M.B.] For the purpose of open access, the author has applied a CC BY public copyright licence to any Author Accepted Manuscript version arising from this submission.",NA,NA,NA
Focused ultrasound: Innovation in use for neurologic conditions,9897206,na,NA,NA,NA,NA
"Outcome of Femoral Angioplasty/Stenting Procedures in Different
Ethnic Groups in England: A Retrospective Analysis of Hospital Episode
Statistics and Review of Literature",9896409,na,NA,NA,NA,NA
Facebook versus the BMJ: when fact checking goes wrong,9893920,10.1136/bmj.o95,NA,NA,NA,NA
"Survival and functional outcome following endovascular thrombectomy
for anterior circulation acute ischemic stroke caused by large vessel occlusion
in Sweden 2017–2019–a nationwide, prospective, observational
study",9893239,na,NA,"We thank the Swedish Endovascular Stroke Treatment Collaboration, especially Åke
Holmberg at EVAS and Fredrik Jonsson at RS. We are grateful to patients, caregivers,
and staff for providing data in the registries.",NA,NA
Effect of intensity and duration of anthropic noises on European mink locomotor activity and fecal cortisol metabolite levels,9892796,na,NA,"We would like to thank Ex situ Conservation Program for European mink and Fundación Biodiversidad. Also, the authors would like to thank the Ministerio para la Transición Ecológica y Reto Demográfico and Comunidad Autónoma of Castilla La Mancha (Spain). We are grateful to FIEB Foundation for allowing us to conduct this study and for helping us fund a small portion of the hormonal analysis. The authors would like to thank Alejandro Fernández Riba (president of FIEB) and Carmen Aranda (veterinary director) for their welcome and attention during the development of the research. Finally, we thank Nathalie Yonow who kindly improved the English of the manuscript.","This research was funded by the authors with help from Fundación para la Investigación en Etología y Biodiversidad (FIEB), who funded a small portion of the hormonal analyzes.",NA
The potential function of post-fledging dispersal behavior in first breeding territory selection for males of a migratory bird,9892789,na,NA,"We thank the A.P. Leventis Conservation Foundation for supporting this work, Michaella Moysi for logistical help, Birdlife Cyprus and the Game and Fauna Service of Cyprus for granting us permission to carry out this research, and 4 anonymous reviewers for their helpful comments and suggestions.",NA,NA
Laryngopharyngeal reflux induced sleep-related laryngospasm,9892074,10.1007/s11845-022-02934-x,NA,NA,Open Access funding provided by the IReL Consortium.,NA
Literature review and proposal of best practice for ophthalmologists: monitoring of patients following intravitreal brolucizumab therapy,9892069,10.1007/s11845-022-02929-8,NA,"I would like to thank Catherine Lee (Bedrock Healthcare Communications, Fleet, UK), who supported with refining the manuscript draft for the named author to edit. This writing support was funded by Novartis Ireland Ltd. (Dublin, Ireland).",Open Access funding provided by the IReL Consortium.,NA
Effect of FOXO3 and Air Pollution on Cognitive Function: A Longitudinal Cohort Study of Older Adults in China From 2000 to 2014,9890624,na,NA,We thank all the participants and research staff of The Chinese Longitudinal Health Longevity Survey (CLHLS).,"The Chinese Longitudinal Healthy Longevity Survey (CLHLS) data sets analyzed in this article are jointly supported by the National Key R&D Program of China (2018YFC2000400), National Natural Sciences Foundation of China (72061137004, 71490732), Duke/Duke-NUS/RECA (Pilot)/2019/0051, and the U.S. National Institute of Aging of National Institute of Health (P01AG031719).",NA
Contents,9889120,10.1016/S2058-5349(21)00145-1,NA,NA,NA,NA
Transient Anarthria in a Patient With Non-Dominant Hemispheric Lesion: A Case Report,9833467,10.12786/bn.2022.15.e8,NA,NA,NA,"
Funding: This study was supported by the National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIP) (NRF-2018R1D1A1A02086038).
"
Development of plasma ghrelin level as a novel marker for gastric mucosal atrophy after Helicobacter pylori eradication,9891226,na,NA,NA,NA,NA
"Labeling Cell Surface Receptors with Ligand.BirA*
Bispecifics",9890520,10.1021/acsptsci.1c00192,NA,"This work was financially supported by project grants
148556 and 156138 from the Canadian Institutes of Health Research
to J.G. The authors would like to thank Dr. Marzena Cydzik for her
part in the data analysis of the BirA* kinetics, Dr. Peter Lee for
helping generate predicted ribbon model structures, the abstract graphic,
and the figure layouts, as well as Dr. Amanda Sparkes for her continuous
guidance.",NA,NA
Postoperatives Schmerzerleben nach proximaler Femurfraktur bei Demenz,9889506,10.1007/s00482-021-00619-5,NA,NA,Open Access funding enabled and organized by Projekt DEAL.,NA
Brief Report: Evaluating the Diagnostic Yield of Commercial Gene Panels in Autism,9889490,10.1007/s10803-021-05417-7,NA,This publication has emanated from research supported in part by a Grant from Science Foundation Ireland under Grant No. 15/SIRG/3324.,NA,NA
Weakened Bayesian Calibration for Tactile Temporal Order Judgment in Individuals with Higher Autistic Traits,9889458,10.1007/s10803-022-05442-0,NA,"This study was partly supported by MEXT grants (JP19H04921, JP17H05966, JP20H04595), JSPS grants (JP16H01866, JP19H01087, JP19K22885, JP21H05053) and JST CREST (JPMJCR16E2).We would like to thank Ms. Naomi Ishii for conducting experiment and helping analysis of the data; Dr. Ari Tanaka for psychological assessments; Dr. Shinya Yamamoto, Prof. Souta Hidaka, Prof. Akio Wakabayashi, Prof. Noriko Osumi and Prof. Yukie Nagai for valuable comments; Ms. Taemi Nawa for her technical assistance; Dr. Reiko Fukatsu and Prof. Yasoichi Nakajima for their continuous encouragement.",NA,NA
Dimensions of Self-Reported Driving Difficulty in Autistic and Non-Autistic Adults and their Relationship with Autistic Traits,9889452,10.1007/s10803-021-05420-y,NA,NA,"No funds, grants, or other support was received.",NA
Parent Activation Measure for Developmental Disabilities (PAM-DD) in Caregivers of Individuals With ASD,9889422,10.1007/s10803-021-05263-7,"This project is supported by Autism Speaks and the Health Resources and Services Administration (HRSA) of the U.S. Department of Health and Human Services (HHS) under cooperative agreement UA3 MC11054—Autism Intervention Research Network on Physical Health. This information or content and conclusions are those of the author and should not be construed as the official position or policy of, nor should any endorsements be inferred by HRSA, HHS or the U.S. Government. This work was conducted through the Autism Speaks Autism Treatment Network. We wish to thank Craig Swanson of Insignia for permission to use the PAM-DD and providing Guttman scores. We also thank the ATN network for their support.",NA,NA,NA
Characterizing Daily-Life Social Interactions in Adolescents and Young Adults with Neurodevelopmental Disorders: A Comparison Between Individuals with Autism Spectrum Disorders and 22q11.2 Deletion Syndrome,9889413,10.1007/s10803-021-05423-9,NA,"The authors are very grateful to all families for their participation and their commitment to the study. We also would like to thank the collaborators of the DIP lab, especially Virginie Pouillard and Eva Micol, for the management of the 22q11DS longitudinal cohort. We also would like to thank Charlotte Dubois for her help in data collection.",Open access funding provided by University of Geneva. This work was supported by an Ambizione grant from the Swiss National Science Foundation (PZ00P1_174206) a research grant from the Swiss National Science Foundation to SE (324730_144260).,NA
"Supplementation with açaí (Euterpe Oleracea Martius) for the treatment of chronic tinnitus: effects on perception, anxiety levels and oxidative metabolism biomarkers",9886123,10.1590/2317-1782/20212021076,NA,NA,NA,"

Financial support: nothing to declare.
"
Sensory profile of children with Central Auditory Processing Disorder (CAPD),9886108,10.1590/2317-1782/20212019282,NA,We would like to thank Capes for the support in publishing the manuscript.,NA,NA
Cross-cultural adaptation of the Brazilian version of the Speech-Specific Reinvestment Scale – SSRS,9886101,10.1590/2317-1782/20212020385,NA,NA,NA,"
Financial support: nothing to de declare.
"
"Segmental acquisition of Brazilian Portuguese: onset simple, complex and coda",9851189,10.1590/2317-1782/20212020439,NA,NA,NA,"
Financial support: nothing to declare.
"
MMBGR Protocol - infants and preschoolers: Instructive and Orofacial Myofunctional Clinical History,9851188,10.1590/2317-1782/20212020324,NA,"To the students at FOB-USP and UFS, who helped in the research data collection; To the Speech-Language Pathology professionals who collaborated as expert evaluators in the field; To the institutions, and their respective responsible, who allowed the study to be carried out; as well as the participants and their guardians.",NA,NA
Family resources and school performance: an analysis of associated factors in middle school adolescents,9851186,10.1590/2317-1782/20212021058,NA,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - Brasil (CAPES).,NA,NA
Masking Level Difference: test-retest reliability assessment in normal hearing female university students,9851185,10.1590/2317-1782/20212020207,NA,NA,NA,"
Financial support: nothing to declare.
"
Audiological profile and cochlear functionality in Williams syndrome,9769433,10.1590/2317-1782/20212021041,NA,NA,NA,NA
Figure-based speech perception test: applicability in children with Down syndrome,9769426,10.1590/2317-1782/20212020204,NA,NA,NA,"
Financial support: nothing to declare.
"
Quality of life of the Brazilian speech therapist facing the covid-19 pandemic,9769421,10.1590/2317-1782/20212021034,NA,NA,NA,"
Financial support: nothing to declare.
"
Systematic reviews in Speech-Language Pathology,9769420,10.1590/2317-1782/20212021170,NA,NA,NA,"
Financial support: nothing to declare.
"
Performance in the accuracy task in children with Childhood Apraxia of Speech after an integrated intervention of literacy and motor skills,9769418,10.1590/2317-1782/20212021126,NA,NA,NA,"
Financial support: nothing to declare.
"
"Neonatal Hearing Screening: protocols, obstacles and perspectives of speech therapists in Brazil - 10 years of Brazilian Federal Law 12,303/2010",9769413,10.1590/2317-1782/20212020331,NA,NA,NA,"
Financial support: nothing to declare.
"
Hesitations and relative proeminence in prosodic constituents in children's speech,9769412,10.1590/2317-1782/20212020220,NA,NA,NA,NA
Transgender‐based disparities in suicidality: A population‐based study of key predictions from four theoretical models,10138751,na,NA,NA,NA,NA
Extrasystoles or short bradycardias of the newborn seldom require subsequent 24‐hour electrocardiographic monitoring,10138749,na,NA,NA,NA,NA
Structural analysis of random transgene integration in CHO manufacturing cell lines by targeted sequencing,10138747,na,NA,We thank Daniel Heinzelmann and Gabriela Krattenmacher for their help in ddPCR measurements.,NA,NA
"Association of the Charlson index with risk classification, clinical
aspects, and emergency outcomes*
",10132840,10.1590/1980-220X-REEUSP-2020-0162,NA,NA,NA,NA
"
In loco nursing practice inspection costs in a Brazilian
setting",10132837,10.1590/1980-220X-REEUSP-2021-0382,NA,NA,NA,NA
"Prevention adopted by healthcare workers within their families in the
Covid-19 pandemic",10132737,na,NA,NA,NA,NA
Palatoplasty in children: nursing diagnoses and interventions related to the immediate postoperative period,10132736,10.1590/1980-220X-REEUSP-2020-0252,NA,NA,NA,NA
Honey bee (Apis mellifera ligustica) acetylcholinesterase enzyme activity and aversive conditioning following aluminum trichloride exposure,10127314,10.1186/s40850-021-00103-8,NA,The authors would like to thank Charles Cirocco for his contribution to data collection during this project and Dr. Yves Le Conte for his assistance in coordinating facility access.,"This project was funded by National Science Foundation grants including Graduate Research Fellowship Program (#1144467), Research Experiences for Undergraduates (DBI 1560389 and NSF-REU 1950805), Partnership for International Research and Education (OISE 1545803), and Louis Stokes Alliance for Minority Participation Bridge to the Doctorate (#HRD-1612560).",NA
"Ultrastructure of the gill ciliary epithelium of Limnoperna fortunei (Dunker 1857), the invasive golden mussel",10127303,10.1186/s40850-022-00107-y,NA,"This work was supported by the Companhia Energética de Minas Gerais (Cemig) GT/ANEEL R&Ds GT-0604. Erico T. F. Freitas received a scholarship from the Universidade Federal de Ouro Preto / Cemig GT S.A. Erika C. Jorge received a scholarship from Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq). Authors are grateful for the support given by Mr. Renato Brito and Mrs. Kelly Carneiro at the CBEIH laboratory, and by Mrs. Altair Mendes dos Santos, Mrs. Flávia Kelly Moreira da Silva, and Mrs. Marilene Luiza de Oliveira for the sample preparation assistance at the Center of Microscopy at UFMG. This work is dedicated to the memory of Brian Morton (1942-2021), professor emeritus of marine ecology, The University of Hong Kong.",This work was supported by Agência Nacional de Energia Elétrica (Annel) / Cemig-GT S.A. under the Project GT-604. The funder supported the CBEIH laboratory infrastructure and all the experiments performed to carry out this work.,NA
