Article_Title,PMC_ID,DOI,ACK,ACKNOWLEDGEMENT,FUNDING,FOOTNOTES
An application of the Biobehavioral Family Model: Examining the impact of maternal depression on child asthma mediated by insecure attachment and child depression,10078754,na,NA,This study was supported by 5RO1MH064154 from the National Institute of Mental Health and R01HL123609 from the National Heart Lung and Blood Institute. We wish to acknowledge Ms. Melina Hillsberg and Mr. William R. Tallmadge for assistance in preparing this manuscript.,NA,NA
Theory of mind tested by implicit false belief: a simple and full‐fledged mental state attribution,10078721,na,NA,"We thank Dr. T. Sasaoka and the members of Niigatauniversity center for bioresource‐based researches and R. Sato for animalcares. Financial support was provided by the Japan Society for the Promotion ofScience (JSPS KAKENHI Grant Number JP26293261 to TS, JP26242088 to IH,JP16K01959 to KK), Ministry of Education, Culture, Sports, Science and Technology(MEXT KAKENHI Grant Number JP21H05813 to KK), Merck Sharp and Dohme (grantnumber J11F0765 to TS), AMED (grant number JP21wm0525006 to IH).",NA,NA
Life‐Sustaining Treatment Decision in Palliative Care Based on Electronic Health Records Analysis,10078701,na,NA,None.,NA,NA
"Conservation of vaccine antigen sequences encoded by sequenced strains of Streptococcus equi subsp. equi
",10078666,na,NA,NA,NA,NA
Behavioral biases and heuristics in perceptions of COVID‐19 risks and prevention decisions,10078638,na,NA,NA,NA,NA
“I’m Doing the Best I Can”: Teaching General Music in the Time of Covid-19,10076978,na,NA,NA,NA,NA
Septic arthritis of the hip joint caused by Klebsiella pneumoniae: a case report,10076912,na,NA,NA,NA,NA
Racial And Ethnic Disparities In Patient Experience Of Care Among Nonelderly Medicaid Managed Care Enrollees,10076226,na,"Kevin Nguyen was supported by the Robert Wood Johnson Foundation Health Policy Research Scholars program while completing this study. Ira Wilson is partially supported by Institutional Development Award No. U54GM115677 from the National Institute of General Medical Sciences of the National Institutes of Health, which funds Advance Clinical and Translational Research (Advance-CTR) from the Rhode Island IDeA-CTR award (U54GM115677). The authors thank the National Committee for Quality Assurance (NCQA) for access to enrollee-level Medicaid managed care Consumer Assessment of Healthcare Providers and Systems (CAHPS) survey data. CAHPS is a registered trademark of the Agency for Healthcare Research and Quality. The NCQA makes no representations or warranties as to the validity of the data. The results of this study reflect those of the authors only and do not represent those of the NCQA, the federal government, or the Department of Veterans Affairs.",NA,NA,NA
"Immigrant academic mothers negotiating ideal worker and mother norms
during the COVID-19 pandemic: Duoethnography as a co-mentoring tool for
transformative learning",10067899,na,NA,NA,NA,NA
"Health professionals’ experiences of and attitudes towards mental
healthcare for migrants and refugees in Europe: A qualitative systematic
review",10074763,na,NA,NA,NA,NA
Pediatric management challenges of hyperglycemic hyperosmolar state: case series of Korean adolescents with type 2 diabetes,10073033,na,This work was supported by a 2-Year Research Grant of Pusan National University.,NA,NA,NA
First female Korean child with Coffin-Lowry syndrome: a novel variant in RPS6KA3 diagnosed by exome sequencing and a literature review,10073030,na,NA,NA,NA,NA
Elective incisional hernia repair: lower risk of postoperative wound infection with laparoscopic versus open repair,10071850,10.11622/smedj.2022005,NA,NA,NA,NA
"Oncogenic TYK2 P760L kinase is effectively targeted by combinatorial TYK2, mTOR and CDK4/6 kinase blockade",10071116,10.3324/haematol.2021.279848,NA,"
The authors thank Marion Bokor for histological sample preparations and H&E staining, Philipp Jodl for technical support, the mouse facility personnel for their help with in vivo experiments, Thomas Kolbe for provision of some NSG mice and Michael Dworzak for provision of a cell line.
",NA,NA
COVID-19 through Adverse Outcome Pathways: Building Networks to Better Understand the Disease – 3rd CIAO AOP Design Workshop,10069302,na,NA,NA,"The CIAO project is steered by the Joint Research Centre of the European Commission (EC-JRC), the Humane Society International (HSI), and the Physicians Committee for Responsible Medicine (PCRM). For Jorid Birkelund Sørli, the research is supported by FIKA, Focused Research Effort on Chemicals in the Working Environment from the Danish Government. For Daniel Jacobson, this work was supported by the Laboratory Directed Research and Development Program of Oak Ridge National Laboratory, managed by UT-Battelle, LLC for the US Department of Energy (LOIS:10074) and the National Institutes of Health 3RF1AG053303-01S2.",NA
Clustering of health burdens in solitary confinement: A mixed-methods approach,10065473,na,NA,We acknowledge the significant assistance of the Pennsylvania Department of Corrections who provided access to prison facilities. We also would like to thank Samantha Plummer and Hannah Pullen-Blasnik for their helpful feedback on early analyses and drafts.,NA,NA
Sudden Rupture of Abdominal Aortic Aneurysm in COVID19 Patients,10051004,na,NA,NA,NA,NA
Gastrointestinal symptoms in COVID-19,10050985,10.5114/pg.2021.112683,NA,NA,NA,NA
A combined method for the treatment of grade IV internal haemorrhoidal disease,10050978,10.5114/pg.2022.112776,NA,Georgios-Ioannis Verras and Francesk Mulita – equal contribution.,NA,NA
How Do Virtual Visits Compare? Parent Satisfaction With Pediatric Diabetes Telehealth During the COVID-19 Pandemic,10012131,10.3389/fcdhc.2021.794493,NA,"Data from this presentation was presented at the Pediatric Endocrine Society 2021 virtual meeting, April 30-May 3 2021. The authors wish to thank their parent stakeholders and study participants.",CM is funded by the Children’s Hospital of Pittsburgh Scholar Award.,NA
A Survey on the Current Status of Ophthalmological Consultations in Patients With Diabetes Undergoing Maintenance Hemodialysis and the Effectiveness of Education on Consultation Behavior –Experience of a Single Hemodialysis Clinic in Japan,10012105,10.3389/fcdhc.2021.827718,NA,NA,NA,NA
A Self-Report Measure of Diabetes Self-Management for Type 1 and Type 2 Diabetes: The Diabetes Self-Management Questionnaire-Revised (DSMQ-R) – Clinimetric Evidence From Five Studies,10012087,10.3389/fcdhc.2021.823046,NA,"We thank the persons who kindly participated in the studies enabling this research. We acknowledge the valuable contributions to participant enrolment and data collection of André Reimer (studies 1–3), Paula Rubertus (study 4) and Fabienne Schmid (study 5).","Study 1 was supported by the German Diabetes Foundation (DDS) (grant number 375.10.15). Studies 2–3 were supported by the German Center for Diabetes Research (DZD) (grant number 82DZD01102). Studies 4–5 were supported by the German Center for Diabetes Research (DZD) [grant number 82DZD11A02]. The funders were not involved in decisions regarding study design; collection, analysis and interpretation of data; writing of the report; and submission of the article for publication.",NA
Calebin-A prevents HFD-induced obesity in mice by promoting thermogenesis and modulating gut microbiota,10037069,10.1016/j.jtcme.2022.01.001,NA,"P.S.L. and M.H.P. conceived idea, designed experiments, and wrote the manuscript. P.S.L. carried out experiments with assistance in animal study experiments from Y.Y.L. K. N., H. C. M. and C.T.H. reviewed the manuscript. All authors read and approved the final manuscript.",This study was supported by the Ministry of Science and Technology (109-2320-B-002-012-MY3).,NA
Plant polysaccharides utilized by gut microbiota: New players in ameliorating cognitive impairment,10037067,10.1016/j.jtcme.2022.01.003,NA,This work was sponsored by 10.13039/100006190Zhejiang Provincial Key Research and Development Program (2020C02037) and People-benefit Project of Ningbo (202002N3078).,NA,NA
Open Veress assisted technique for laparoscopic entry,10034789,10.4103/jmas.jmas_271_21,NA,NA,NA,NA
Using Full Pose Measurement for Serial Robot Calibration,9888179,na,NA,NA,This research received no external funding.,NA
