Article_Title,PMC_ID,DOI,ACK,ACKNOWLEDGEMENT,FUNDING,FOOTNOTES
Predictors of prolonged hospitalization after vaginal birth in Ghana: A comparative study,10021428,na,The authors are grateful to the demographic health survey for granting them access to their dataset for analysis.,NA,NA,NA
Modelling the epidemiology of malaria and spread of HRP2-negative Plasmodium falciparum following the replacement of HRP2-detecting rapid diagnostic tests,10021339,na,"Computation resources and services used in this work were provided by the High Performance Computing and Research Group, Queensland University of Technology, Brisbane, Australia.",NA,NA,NA
A review on application of ultrasound and ultrasound assisted technology for seed oil extraction,10020383,10.1007/s13197-022-05359-7,NA,NA,"Open Access funding enabled and organized by CAUL and its Member Institutions. This study was funded by School of Science, Monash University Malaysia.",NA
"Glutaminolysis and the Control of Neural Progenitors in Neocortical
Development and Evolution",10018057,na,"We thank Erin J. Rooney (University of Helsinki), Lilja E. Lahtinen (University of
Helsinki), and Mareike Albert (CRTD) for critical reading of the manuscript and
helpful comments.",NA,NA,NA
"Risk of food insecurity in undocumented migrant households in Birmingham, UK",10017078,na,NA,The authors would like to thank Dr Lisa Goodson for her co-supervision of the PhD thesis on which this article draws.,"This work was supported by the College of Social Sciences, University of Birmingham. Funding for fieldwork costs was provided by the Social Workers’ Education Trust. Funders had no role in the design, analysis or writing of this article.",NA
Synergies of Multiple Zeitgebers Tune Entrainment,10013031,10.3389/fnetp.2021.803011,"We thank Bharath Ananthasubramaniam, Christoph Schmal, Eleonora Usatikova, Achim Kramer, Adrian Granada and Daniel Damineli for fruitful discussions. SG acknowledges support from Deutsche Forschungsgemeinschaft (RTG2424) CompCancer. MO acknowledges support from Deutsche Forschungsgemeinschaft (Project Number 278 001 972—TRR 186). We acknowledge support from the German Research Foundation (DFG) and the Open Access Publication Fund of Charité—Universitätsmedizin Berlin.",NA,NA,NA
Measuring the Rate of Information Exchange in Point-Process Data With Application to Cardiovascular Variability,10013020,10.3389/fnetp.2021.765332,NA,NA,NA,NA
Conceptualising Four Categories of Behaviours: Implications for Implementation Strategies to Achieve Behaviour Change,10012728,10.3389/frhs.2021.795144,"Sincere thanks to Jeanette Wassar Kirk, Ida Seing, Linda Richter Sundberg, Martin Ulander and Kristin Thomas for constructive comments.",NA,NA,NA
"Cost-Efficiency Analysis of the Improved Web-Based Planning, Budgeting, and Reporting System (PlanRep) in Tanzania",10012613,10.3389/frhs.2021.787894,The authors would like to thank PORALG and USAID/PS3 for allowing us to use data from their project.,NA,NA,NA
COVID-19 Pandemic Adversely Affects the Provision of Desired Newborn Circumcision: Perinatal Physician Perspectives,10012608,10.3389/frhs.2021.799647,NA,NA,NA,NA
Wait!What does that mean?: Eliminating ambiguity of delays in healthcare from an OR/MS perspective,10013540,na,NA,NA,NA,NA
Cushing’s syndrome due to ectopic adrenocorticotropin secretion by a parotid carcinoma,9991039,10.20945/2359-3997000000426,NA,we thank the patient and patient’s family to contribute with this study.,NA,NA
Number of teeth lost on diet quality and glycemic control in patients with type 2 diabetes mellitus,9991037,10.20945/2359-3997000000429,NA,the authors thank the study participants.,NA,"
Funding: this work was supported by the Federal University of Rio Grande do Sul (UFRGS), the National Council for Scientific and Technological Development (CNPq) and the Foundation Institute for Economic Research (Fipe) of Hospital de Clínicas de Porto Alegre (HCPA).
"
"Cushing disease due to a somatic
USP8
mutation in a patient with evolving pituitary hormone deficiencies due to a germline
GH1
splicing variant",9991035,10.20945/2359-3997000000428,NA,we would like to thank Dr. Caio Célio Santiago Moisés for valuable comments during the manuscript review.,NA,NA
Intraoperative frozen section performance for thyroid cancer diagnosis,9991033,10.20945/2359-3997000000445,NA,IMG receives research grant from Sociedade Brasileira de Endocrinologia e Metabolismo (SBEM).,NA,NA
When do we need to suspect maturity onset diabetes of the young in patients with type 2 diabetes mellitus?,9991031,10.20945/2359-3997000000431,NA,NA,NA,NA
Managing hyperthyroidism patients with unconventional therapy,9991030,10.20945/2359-3997000000454,NA,NA,NA,NA
Antenatal corticosteroids may contribute to illness in children in the future,9991027,10.20945/2359-3997000000434,NA,NA,NA,NA
Dose-ranging effects of SGLT2 inhibitors in patients with type 2 diabetes: a systematic review and meta-analysis,9991024,10.20945/2359-3997000000440,NA,"this manuscript is dedicated to the memory of our dear mentor and coauthor Jorge Luiz Gross, who died in May 2017.",NA,NA
